Identification Level,External Identifier,Compound,sFED1_mean,sMED1_mean,Fold_Change,P_Value,FDR_P_Value
Tier 1,C02427,Homocitrulline,0.19599999999999998,0.09833333333333333,1.9932203389830507,0.0006461798136533681,0.06859440359755671
Tier 2,C06029,3-Methylmalic acid,1.8146666666666664,0.9293333333333335,1.9526542324246767,0.009951330354480805,0.18560138188522907
Tier 2,C06032,D-erythro-3-Methylmalic acid,1.8163333333333334,0.931,1.9509488005728606,0.009391730981085564,0.18560138188522907
Tier 2,C16445,Dihydrozeatin riboside monophosphate,2.4523333333333333,1.2590000000000001,1.94784220280646,0.04973442996652873,0.35500696317962926
Tier 2,C22137,Isomer 4 of 4-Chloro-L-lysine,1.1833333333333333,0.6133333333333333,1.9293478260869568,0.0025287455506956564,0.13270210137145755
Tier 1,C16673,Isoglutamine,0.9406666666666667,0.48933333333333334,1.922343324250681,0.018447712879587342,0.23760698925630228
Tier 2,,2-Dehydro-3-deoxy-D-xylonic acid/2-Dehydro-3-deoxy-L-arabinonic acid,1.7093333333333334,0.898,1.9034892353377877,0.013744462219496994,0.21816210032037958
Tier 1,C01732,Mesaconic Acid,2.0563333333333333,1.0836666666666668,1.8975699784681634,0.010417488788518012,0.18560138188522907
Tier 2,,Aminoethoxyacetic acid,0.7060000000000001,0.38033333333333336,1.8562664329535496,0.0001893842808014603,0.048723063613183
Tier 2,C11918,Maltol,0.7443333333333332,0.401,1.8561928512053196,0.0006204547352575147,0.06859440359755671
Tier 1,C00263,Homoserine,0.9269999999999999,0.5056333333333334,1.833344320653965,0.0048016908448170635,0.1427061076178459
Tier 2,,2-Hydroxy-6-ketononatrienedioic acid,1.859333333333333,1.0226666666666666,1.8181225554106908,0.014419682750772414,0.22084882528814592
Tier 1,C00099,Beta-Alanine,0.4083333333333334,0.225,1.8148148148148149,0.0028094721782745526,0.13270210137145755
Tier 2,C02718,Iminoglycine,1.1136666666666668,0.6154333333333333,1.8095650760981425,0.026222902557125238,0.2661178949540348
Tier 1,HMDB0000706,Aspartyphenylalanine,1.0330000000000001,0.583,1.7718696397941684,0.023544583227937337,0.25474904094029976
Tier 1,C00188,Threonine,0.38633333333333336,0.219,1.7640791476407915,0.003192146768385577,0.13270210137145755
Tier 2,,Gentisate aldehyde 2-O-glucuronide,0.8876666666666667,0.5119999999999999,1.7337239583333337,0.005635801177802362,0.15279418438455167
Tier 2,,"meso-2,6-Diaminoheptanedioic acid",1.3353333333333335,0.7783333333333333,1.7156316916488226,0.006604558246053119,0.1695817455530698
Tier 1,C04075,4-Pentenoic acid,3.6950000000000003,2.1552000000000002,1.7144580549368968,0.016415241768115874,0.23317200532113963
Tier 2,,"(R)-3,4-Dihydroxymandelonitrile",1.3603333333333334,0.8013333333333333,1.6975873544093179,0.0028838193733066926,0.13270210137145755
Tier 2,C05665,3-Aminopropanal,0.624,0.36873333333333336,1.69227987705659,0.01484899257386006,0.22350293994792814
Tier 2,C05786,(3Z)-Phycocyanobilin,0.5686666666666668,0.339,1.6774827925270406,0.020665501689356325,0.2444347001989082
Tier 2,C16322,9-Oxononanoic acid,1.265,0.7601666666666667,1.664108748081561,0.016690858280046655,0.23317200532113963
Tier 1,,trans-2-Methyl-2-pentenoic Acid,3.3516666666666666,2.0261666666666667,1.6541910010693428,0.027591204330052403,0.27064181325995224
Tier 2,,L-Tyrosine O-sulfate,1.8056666666666665,1.1218333333333332,1.6095676719655325,0.004558957100696156,0.1427061076178459
Tier 1,,3-Hydroxyisovaleric Acid,2.2583333333333333,1.4314333333333333,1.5776727289663042,0.009571357445739474,0.18560138188522907
Tier 2,C22137,Isomer 5 of 4-Chloro-L-lysine,0.6566666666666667,0.423,1.5524034672970846,0.03439291600775642,0.30599700097108345
Tier 2,,4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonic acid/Oligouronide with 4-deoxy-alpha-L-erythro-hex-4-enopyranuronosyl group,0.7663333333333334,0.4945,1.5497135153353558,0.04504589086722625,0.33611164724007275
Tier 1,,2-Methyl-4-pentenoic acid,2.4476666666666667,1.5843333333333334,1.544918998527246,0.04358359014375329,0.33334419357504347
Tier 2,,Aminoacrylic acid,0.6043333333333333,0.39633333333333337,1.5248107653490326,0.0027395294677433958,0.13270210137145755
Tier 2,C16461,Geranic acid,2.5083333333333333,1.6676666666666666,1.504097541475115,0.010838518738132134,0.18924053716778705
Tier 2,C00361,dGDP,1.1956666666666667,1.8272333333333333,0.6543590492000657,0.010218307040092056,0.18560138188522907
Tier 2,,"7,8-Dihydrobiopterin",0.06383333333333334,0.0978,0.6526925698704841,0.03552487026840837,0.3070615024190149
Tier 2,,Isomer 1 of N4-Acetyl-Spermidine,1.6587000000000003,2.5624,0.6473228223540433,0.036063422089275536,0.30866046552879944
Tier 2,,"2,6-Dihydroxypseudooxynicotine",0.32993333333333336,0.5261,0.6271304568206298,0.021465690493366763,0.2444347001989082
Tier 2,,Ophthalmic acid,0.681,1.0899999999999999,0.624770642201835,0.021020537701540203,0.2444347001989082
Tier 1,HMDB0011175,Leucyl-Proline,1.4373333333333334,2.340666666666667,0.6140700655084022,0.00565708974621497,0.15279418438455167
Tier 1,C00020,Adenosine monophosphate,0.7116666666666666,1.1806666666666668,0.6027667984189722,0.01850776090427097,0.23760698925630228
Tier 2,C21248,2-Aminovalienone,0.5836666666666667,0.989,0.5901584091675093,0.016826845744824508,0.23317200532113963
Tier 1,C00362,2'-Deoxyguanosine 5'-monophosphate - isomer1,0.7036666666666668,1.1973333333333334,0.587694877505568,0.015419184357165756,0.2281516600645035
Tier 2,,N-Acetyl-5-Amino-4-imidazole carboxylic acid,0.7589666666666668,1.3206666666666667,0.5746845027763756,0.031145044403255173,0.2923615458499115
Tier 2,,(6-Hydroxy-Indol-3-Yl)Acetyl-L-Phenylalanine,0.7195333333333332,1.2540000000000002,0.5737905369484315,0.0011463191634455186,0.09732113944931388
Tier 2,C00134,Putrescine,0.309,0.5563333333333333,0.5554224086279209,0.02982729147613433,0.289324727318503
Tier 2,C00307,CDP-choline,1.0987333333333333,2.022133333333333,0.5433535540023738,0.03261893706028375,0.2966284588919554
Tier 2,C05635,Isomer 1 of 5-Hydroxyindoleacetic acid,0.49900000000000005,0.9372333333333334,0.5324181100401892,0.004487285442940077,0.1427061076178459
Tier 1,HMDB0029023,Prolyl-Methionine,0.11063333333333335,0.20896666666666666,0.5294305311851971,0.030748849307735124,0.29177984180057354
Tier 2,,Cytidine 3'-monophosphate,0.2733333333333334,0.543,0.5033763044812769,0.008772686870370793,0.18560138188522907
Tier 1,,Leucyl-Methionine sulfoxide,0.6589999999999999,1.3113333333333335,0.5025419420437213,0.020148831518173305,0.2444347001989082
Tier 2,C05411,Xylonic acid,0.5088,1.058,0.48090737240075615,0.005775725182921197,0.15279418438455167
Tier 2,,Dimethyl fukiic acid,0.36999999999999994,0.7873333333333333,0.4699407281964436,0.0037239070044516754,0.14246729704176594
Tier 2,C05730,Glutathionylspermidine,0.1998,0.433,0.461431870669746,0.013212043045360443,0.2135946958999938
Tier 2,C17756,2-Descarboxy-cyclo-dopa,0.32966666666666666,0.7173333333333334,0.45957249070631967,0.009589411920247133,0.18560138188522907
Tier 1,C00148,Proline,0.359,0.7879999999999999,0.45558375634517767,0.0037534339426811185,0.14246729704176594
Tier 1,C00164,Acetoacetic Acid,0.4676666666666667,1.0413333333333334,0.4491037131882202,0.0012262686528550432,0.09732113944931388
Tier 1,C00408,Pipecolic acid,0.336,0.7743333333333333,0.43392165303486874,0.008067751588731234,0.18560138188522907
Tier 1,HMDB0011180,prolyl-proline,0.26966666666666667,0.6250000000000001,0.4314666666666666,0.04630788358251062,0.33972086023135944
Tier 2,C02587,Pyrimidodiazepine,0.6114666666666667,1.45,0.4217011494252874,0.00022324427772363347,0.048723063613183
Tier 2,,Glutaminyl-Leucine,0.218,0.6468333333333334,0.3370265395516619,0.004435624012549685,0.1427061076178459
Tier 2,C16827,1-O-(4-Coumaroyl)-beta-D-Glucose,2.1313333333333335,7.494,0.28440530201939335,0.02652034004696567,0.2661178949540348
Tier 1,HMDB0029041,Seryl-Histidine,0.19333333333333333,0.6852333333333332,0.2821423359439607,0.0023598963445181013,0.13270210137145755
Tier 2,,Isomer 2 of Hydroxyprolyl-Valine,0.3648666666666667,1.4807,0.24641498390400937,0.0020077017208847336,0.13270210137145755
Tier 1,HMDB0028756,Aspartyl-Isoleucine,0.239,1.0260999999999998,0.23292076795633956,0.0022808114295812545,0.13270210137145755
Tier 2,,Isomer 1 of Hydroxyprolyl-Valine,0.06999999999999999,0.4053,0.17271157167530224,0.04391131988674685,0.33334419357504347
Tier 2,,N-Formyl-L-aspartic acid,0.5158666666666666,3.125666666666667,0.16504212434680596,0.049981273901248326,0.35500696317962926
Tier 2,,3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylic acid,0.2642333333333333,11.280000000000001,0.02342494089834515,0.04099207037486679,0.3227731613622543
Tier 2,C01046,N-Methyl-L-glutamic acid,0.18733333333333335,10.412333333333335,0.017991484457534335,0.03811769028894878,0.3118300660852918
