"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Starch and sucrose metabolism","22","9","1","2.5995","0.94279","1","1","75","0.75","1","1","1","P58","C00095;C00031"
"Linoleic acid metabolism","4","3","1","0.47263","0.61267","1","1","43","0.43","1","1","1","P59","C04717;C14827"
"Biotin metabolism","18","4","1","2.1268","0.71798","1","1","46","0.46","1","1","1","P60","C01037"
"Indole alkaloid biosynthesis","4","2","1","0.47263","0.46834","1","1","13","0.13","1","1","1","P61","C00078"
"Monoterpenoid biosynthesis","7","2","1","0.8271","0.46834","1","1","9","0.09","1","1","1","P62","C00341"
"Carotenoid biosynthesis","43","4","1","5.0808","0.71798","1","1","28","0.28","1","1","1","P63","C13453"
"Zeatin biosynthesis","21","9","1","2.4813","0.94279","1","1","68","0.68","1","1","1","P64","C00147"
"Sulfur metabolism","15","6","1","1.7724","0.85075","1","1","65","0.65","1","1","1","P65","C00155"
"Isoquinoline alkaloid biosynthesis","6","6","1","0.70895","0.85075","1","1","77","0.77","1","1","1","P66","C01179"
"Biosynthesis of various plant secondary metabolites","29","19","1","3.4266","0.99775","1","1","93","0.93","1","1","1","P67","C02637"
