"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Butanoate metabolism","17","11","2","1.1575","0.76239","0.94407","0.15815","71","0.71","1","1","1","P38","C00022;C00042"
"Diterpenoid biosynthesis","29","11","2","1.9746","0.76239","0.94407","0.15815","51","0.51","1","1","1","P39","C06093;C11875"
"Tryptophan metabolism","29","14","2","1.9746","0.87111","0.9749","0.22316","75","0.75","1","1","1","P40","C00780;C00632"
"Pantothenate and CoA biosynthesis","25","14","2","1.7023","0.87111","0.9749","0.22316","87","0.87","1","1","1","P41","C00022;C00183"
"Valine, leucine and isoleucine degradation","37","15","2","2.5194","0.89578","0.98081","0.2446","52","0.52","1","1","1","P42","C00183;C02170"
"Glyoxylate and dicarboxylate metabolism","29","15","2","1.9746","0.89578","0.98081","0.2446","86","0.86","1","1","1","P43","C00417;C00042"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","2","1.498","0.91605","0.98534","0.26575","91","0.91","1","1","1","P44","C00166;C00082"
"Glucosinolate biosynthesis","65","18","2","4.4259","0.94606","0.99146","0.30697","57","0.57","1","1","1","P45","C17211;C00183"
"Fructose and mannose metabolism","18","8","1","1.2256","0.87908","1","1","15","0.15","1","1","1","P46","C00577"
"Fatty acid biosynthesis","56","7","1","3.8131","0.84216","1","1","44","0.44","1","1","1","P47","C01571"
"Cutin, suberine and wax biosynthesis","18","5","1","1.2256","0.73159","1","1","6","0.06","1","1","1","P48","C19616;C19418"
"Histidine metabolism","16","4","1","1.0895","0.65035","1","1","10","0.1","1","1","1","P49","C05130"
"Glycerolipid metabolism","21","4","1","1.4299","0.65035","1","1","15","0.15","1","1","1","P50","C00184;C00577"
"Inositol phosphate metabolism","28","7","1","1.9065","0.84216","1","1","29","0.29","1","1","1","P51","C00222"
"Sphingolipid metabolism","27","4","1","1.8385","0.65035","1","1","5","0.05","1","1","1","P52","C02934;C00319"
"Biotin metabolism","18","3","1","1.2256","0.54484","1","1","4","0.04","1","1","1","P53","C01909"
"Lipoic acid metabolism","24","3","1","1.6342","0.54484","1","1","7","0.07","1","1","1","P54","C00022"
"Terpenoid backbone biosynthesis","30","3","1","2.0427","0.54484","1","1","10","0.1","1","1","1","P55","C00022"
"Sulfur metabolism","15","6","1","1.0214","0.7941","1","1","46","0.46","1","1","1","P56","C00042"
"Flavonoid biosynthesis","47","21","1","3.2003","0.99646","1","1","82","0.82","1","1","1","P57","C16405"
"Tropane, piperidine and pyridine alkaloid biosynthesis","9","3","1","0.61282","0.54484","1","1","4","0.04","1","1","1","P58","C00166"
