Identification Level,External Identifier,Compound,sMEnD3_mean,sMEnD2_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,,Margaroylglycine,0.9620000000000001,0.2996666666666667,3.2102335928809786,0.03395830834481353,0.12534292793515567
Tier 2,C05568,Imidazole lactic acid,1.9349999999999998,0.6057333333333333,3.1944750165089144,0.00023001541990087603,0.006513244987844545
Tier 2,C02587,Pyrimidodiazepine,3.845333333333334,1.2096666666666667,3.178837145219069,0.032277255401542915,0.12028726369899756
Tier 2,C09025,Akuammicine,3.736333333333333,1.1773333333333333,3.173556058890147,0.026456963761184466,0.1079704964761014
Tier 2,C06735,Aminoacetaldehyde,1.3073333333333332,0.41533333333333333,3.147672552166934,0.028190232807005153,0.11211325009237254
Tier 2,,4-Coumaroyl-Diketide,1.0573333333333332,0.337,3.137487636003956,0.04014723837519746,0.13986633685555755
Tier 2,,Isomer 2 of N-Acetyl-DL-serine,1.0486666666666666,0.3376666666666666,3.1056268509378087,0.020071670923225187,0.09480856328061577
Tier 2,,N-Acetyl-10-Formyltetrahydrofolic acid,1.594,0.5144333333333333,3.0985550443854084,0.0036696087537916185,0.03215895531038856
Tier 2,C00606,Isomer 1 of 3-Sulfino-L-alanine,0.613,0.20233333333333334,3.029654036243822,0.013836735080441954,0.07747234762431027
Tier 2,,Salicylate beta-D-Glucose Ester,1.6016666666666666,0.536,2.98818407960199,0.02495034959437357,0.10504271483005267
Tier 1,HMDB0029026,Prolyl-Serine,2.22,0.7493333333333333,2.962633451957296,0.0017624150113821127,0.021058134001978025
Tier 2,,Isomer 1 of Isoleucyl-Threonine,1.9160000000000001,0.6603333333333333,2.9015648662291773,0.02847374037403639,0.112269100243691
Tier 1,,"N,N-dimethyl-L-Valine",0.7553333333333333,0.2638,2.863280262825373,0.00019159857117712317,0.005991219437410422
Tier 2,C05730,Glutathionylspermidine,3.9760000000000004,1.3916666666666666,2.8570059880239524,0.022585450749030407,0.10048646225257171
Tier 2,,N-Jasmonoylisoleucine,2.5046666666666666,0.8923333333333333,2.806873365707882,0.00036485231832729414,0.008281404858420938
Tier 2,C00506,L-Cysteic acid,2.4819999999999998,0.9006666666666666,2.7557364914877867,0.008992899064785783,0.0582636124802249
Tier 2,C15700,gamma-Glutamyl-gamma-aminobutyraldehyde,3.0850000000000004,1.1233333333333333,2.746290801186944,0.021277470096647915,0.09864235136805972
Tier 2,C17228,2-Oxo-9-methylthiononanoic acid,3.36,1.2266666666666666,2.739130434782609,0.021376219213691802,0.09870533095087171
Tier 2,,2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylic acid,3.0420000000000003,1.1163333333333332,2.7249925350851005,0.04992012883449814,0.15808040797591077
Tier 1,,Prolyl-Leucine,1.2873333333333334,0.48033333333333333,2.680083275503123,0.018727531806812494,0.09158316187382144
Tier 2,,Dimethyl fukiic acid,1.5380000000000003,0.5793333333333334,2.654775604142693,0.02857582793087907,0.112269100243691
Tier 2,C03375,Norspermidine,2.078,0.7916,2.625063163213744,0.004526006539879386,0.03720313177106531
Tier 1,C02518,4-Aminosalicylic acid,1.8336666666666668,0.7016666666666668,2.6133016627078383,0.04165336956961385,0.14074710009091093
Tier 2,C08557,Miraxanthin-V,0.9580000000000001,0.37903333333333333,2.527482191539882,0.049471420787563475,0.15752026563952218
Tier 2,C06186,Arbutin,1.3499999999999999,0.5363333333333333,2.517091361093847,0.04625040408379931,0.15228471117364603
Tier 2,C01799,Isomer 1 of Norvaline,1.3559999999999999,0.5566666666666666,2.435928143712575,0.03489999681480513,0.1267996749478343
Tier 2,C01799,Isomer 2 of Norvaline,1.3499999999999999,0.5559999999999999,2.4280575539568345,0.00814380389432765,0.05455877869090027
Tier 2,C12125,Isoformononetin,1.1613333333333333,0.4855333333333333,2.391871481532336,0.011768576538022997,0.06959071534473803
Tier 1,HMDB0028700,Alanyl-Valine,1.3433333333333335,0.5653333333333334,2.3761792452830193,0.018151586357540304,0.09085589746206978
Tier 2,,4-Oxoglutaramic acid,1.1056666666666668,0.46799999999999997,2.362535612535613,1.3133101324574396e-06,0.00027922807769075066
Tier 1,HMDB0028850,Glycyl-Serine,1.9779999999999998,0.8383333333333333,2.3594433399602384,0.02797022472515236,0.11211325009237254
Tier 1,HMDB0029069,Threoninyl-Proline,2.606333333333333,1.1116666666666666,2.344527736131934,0.03719026881879879,0.13303556037341913
Tier 2,,Isomer 2 of Hydroxyprolyl-Valine,1.7746666666666666,0.7583333333333333,2.34021978021978,0.03450068838480405,0.12641462970787112
Tier 2,,"(3R,4R)-7,2',4'-Trihydroxyisoflavanol",1.6403333333333332,0.7016333333333332,2.337878284003991,0.025170012049950983,0.10504271483005267
Tier 2,C05627,4-Hydroxystyrene,0.9136666666666667,0.391,2.3367433930093777,0.013416899865105008,0.07622640658655247
Tier 2,C07025,3'-Keto-3'-deoxy-AMP,1.1243333333333334,0.4813333333333334,2.335872576177285,0.038345555305836186,0.13590978164973744
Tier 2,C12628,Vitexin 2''-O-beta-L-rhamnoside,0.8653333333333334,0.3721666666666667,2.3251231527093594,0.004747183062422686,0.03847542076467059
Tier 2,,Isomer 1 of alpha-Cyano-4-hydroxycinnamic acid,2.2246666666666663,0.9636666666666667,2.3085437564856446,0.0035350856824682263,0.032009096140474015
Tier 2,C05635,Isomer 2 of 5-Hydroxyindoleacetic acid,1.342666666666667,0.5843333333333334,2.297775242441529,0.006303226456489332,0.04594616014510148
Tier 2,,Vinylacetylglycine,1.2373333333333332,0.5436666666666666,2.275904353157572,0.012493689691207475,0.07204072811994758
Tier 1,C00188,Threonine,0.7633333333333333,0.3363333333333334,2.2695738354806734,0.034395357044794087,0.12641462970787112
Tier 2,,Pyruvatoxime,1.5570000000000002,0.6866666666666666,2.26747572815534,0.00047026946171181683,0.009397281140068891
Tier 2,C01042,Isomer 2 of N-Acetyl-Aspartic acid,1.4043333333333334,0.6273333333333334,2.238575982996812,0.008725875984742249,0.05753285126727379
Tier 2,C05653,Isomer 1 of Formylanthranilic acid,1.6773333333333333,0.7506666666666666,2.2344582593250446,0.01612848610862528,0.08654127499952176
Tier 2,,3-Phenylpropionylglycine,0.9016666666666667,0.4036666666666667,2.2336911643270025,0.00246255230984494,0.02577330326823887
Tier 2,,cyclic 6-Hydroxymelatonin,0.922,0.41566666666666663,2.2181234963913394,0.015241130808848015,0.08411652670216595
Tier 2,C06193,Guanosine 3'-phosphate,1.6393333333333333,0.749,2.1886960391633288,0.01902109657223244,0.091794999218922
Tier 2,C03564,1-Pyrroline-2-carboxylic acid,1.729,0.79,2.188607594936709,0.04843957733848386,0.15519584165146344
Tier 2,C03557,2-Aminoethylphosphonate,2.5173333333333336,1.1823333333333335,2.129123202706513,0.023661011394178953,0.10309440678892258
Tier 2,,N-Acetyl-L-erythro-4-Hydroxyglutamic acid,1.0706666666666667,0.504,2.124338624338624,0.043779200937027245,0.14664767019079358
Tier 2,,N-Acetyl-5-Amino-2-oxopentanoic acid,1.7923333333333336,0.8516666666666667,2.1045009784735815,0.0031983243168857813,0.0301755249624252
Tier 2,,"4,21-Dehydrocorynantheine aldehyde",1.937,0.9326666666666666,2.076840600428878,0.01594778748752408,0.08596970092111819
Tier 2,C00872,Isomer 2 of Aminomalonic acid,0.8146666666666667,0.399,2.041771094402673,0.04018592767290825,0.13986633685555755
Tier 1,C00232,Succinic Semialdehyde,1.4033333333333333,0.6903333333333332,2.0328343795267987,0.016764929913948998,0.08714627307626896
Tier 1,C00099,Beta-Alanine,1.1353333333333333,0.5623333333333332,2.0189685832839364,0.0003320233645467639,0.007853368969585701
Tier 2,,Aminoacrylic acid,1.272,0.6586666666666666,1.931174089068826,0.012610692737619781,0.0723554103113927
Tier 2,C05901,Piceatannol,0.7853333333333333,0.4196666666666667,1.8713264495631452,0.023407087573025877,0.1025151577838252
Tier 2,,10-Formyltetrahydrofolic acid,1.0246666666666668,0.5538,1.850246779824245,0.04847359333721291,0.15519584165146344
Tier 2,C03479,Folinic acid,1.0246666666666668,0.5538,1.850246779824245,0.04847359333721291,0.15519584165146344
Tier 2,,Isoliquiritigenin 4'-Glucoside,0.612,0.331,1.848942598187311,0.0006988380609058646,0.011331167789534146
Tier 2,C08472,Avenanthramide L,1.5283333333333333,0.8296666666666667,1.8421052631578947,0.04446624478745742,0.1476687040362841
Tier 2,C01042,Isomer 1 of N-Acetyl-Aspartic acid,1.4726666666666663,0.8033333333333333,1.8331950207468874,0.0018380973401739293,0.021518735527894788
Tier 2,C02666,Coniferyl aldehyde,1.0356666666666667,0.5680000000000001,1.823356807511737,0.045607221090910796,0.15102505498390176
Tier 1,C06095,Gibberellin A4,1.2009999999999998,0.6686333333333333,1.796201206440999,0.02868923176255609,0.1123338500432517
Tier 2,C11854,Gibberellin A51-catabolite,1.695,0.9510000000000001,1.7823343848580442,0.011552721281879001,0.06937618635076562
Tier 2,,"N-Acetyl-3,4-Dihydroxy-L-phenylalanine",0.8119999999999999,0.46199999999999997,1.7575757575757576,0.0029689145282537056,0.028674766152050373
Tier 2,,2-[(L-Alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioic acid,0.9136666666666667,0.5207,1.7546892004353114,0.02749292773245757,0.11132367067572792
Tier 2,,"N,N-Dihydroxy-L-isoleucine",1.123,0.648,1.7330246913580247,0.007083816406291093,0.049162534220906454
Tier 1,C00192,Hydroxylamine,1.346,0.7898666666666667,1.7040850776502363,0.013674436153748597,0.07702565241747922
Tier 2,C20310,N-Hydroxy-L-isoleucine,1.0316666666666665,0.6173333333333334,1.6711663066954638,0.0018074818239658002,0.021376239122207777
Tier 2,C16603,"2,3-Dihydroxycarbamazepine",1.9736999999999998,1.2013,1.6429701157079828,0.02972636308772038,0.1152269391928693
Tier 2,C01563,Carbamic acid,0.9056666666666665,0.5643333333333334,1.6048434731246306,0.003807910668656902,0.03293558555950261
Tier 1,,"2,6-Dimethoxyphenol",1.8826666666666665,1.1891999999999998,1.5831371229958517,0.04009450212474391,0.13986633685555755
Tier 2,,3-Ureidoisobutyric acid,1.6384999999999998,1.0384666666666666,1.5778070231751942,0.026101331895407153,0.10689556065998901
Tier 2,,S-Cysteinosuccinic acid,1.444,0.9166666666666666,1.5752727272727274,0.0015850551175467078,0.019337672434069836
Tier 2,,3-Oxopropanoic acid,1.4763333333333335,0.9550000000000001,1.5458987783595115,0.00017296307520140098,0.0058960060046595215
Tier 2,C02926,L-3-Aminodihydro-2(3H)-furanone,1.5866666666666667,1.039,1.5271094000641643,0.0021042324591693255,0.02308249292238006
Tier 1,,"2,3-Dihydroxybenzoic acid",0.7506333333333334,1.1300000000000001,0.6642772861356931,0.015544112443064957,0.08458040526531589
Tier 2,C05554,Aerobactin,1.4093,2.125,0.6632,0.040969900613311044,0.14048554677759614
Tier 2,,"5,6-DHET",0.7303333333333334,1.1066666666666667,0.6599397590361447,0.0024906039396399944,0.02577330326823887
Tier 2,C00072,Isomer 1 of Ascorbic acid,1.893666666666667,2.891666666666667,0.6548703170028819,0.04687396654784548,0.15323187942936686
Tier 2,C06442,N(gamma)-Acetyldiaminobutyric acid,0.9960000000000001,1.5249999999999997,0.6531147540983608,0.018950678512681684,0.091794999218922
Tier 2,,"6-(Hydroxymethyl)-7,8-dihydropterin",1.3549999999999998,2.087666666666667,0.6490499760498162,0.019808141893852365,0.09408867399579873
Tier 2,,Succinyladenosine,0.7156666666666668,1.1159999999999999,0.641278375149343,0.010651704132533696,0.06566662281705614
Tier 1,C00408,Pipecolic acid,0.802,1.2786666666666668,0.627215849843587,0.009266324336235608,0.05933519284915509
Tier 1,HMDB0029056,Threoninyl-Asparagine,1.1836666666666666,1.9023333333333332,0.6222183283686701,0.03624384203247621,0.1304553196137886
Tier 1,C00158,Citric acid/Isocitric acid,0.9623333333333332,1.5593333333333332,0.6171440786660966,0.03855446643581004,0.13623361768019462
Tier 2,C00350,sn-Glycero-3-phosphoethanolamine,0.7353333333333333,1.1956666666666667,0.614998606077502,0.0011978595985432342,0.016930722862336687
Tier 2,C12455,5-Aminopentanal,0.9456666666666665,1.547,0.6112906701141995,0.0064800641680359955,0.04692815165982265
Tier 2,C05962,6-Keto-prostaglandin E1,0.46659999999999996,0.7746666666666666,0.6023235800344234,0.04125310444653052,0.14048808742585178
Tier 2,C04575,"(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoic acid",0.9453333333333335,1.5813333333333333,0.5978077571669478,0.036914139210576076,0.13245661716736123
Tier 2,,4-Hydroxypiperidine,0.9533333333333333,1.5996666666666668,0.5959574911439882,0.0059833665579682805,0.04427856656732665
Tier 1,HMDB0029070,Threoninyl-Serine,1.0086666666666666,1.6936666666666664,0.5955520566817556,0.01818685781811923,0.09085589746206978
Tier 2,,1-(Malonylamino)cyclopropanecarboxylic acid,0.8913333333333333,1.4996666666666665,0.594354300955768,0.004410169142102619,0.03650990025497811
Tier 2,,Isoleucyl-Hydroxyproline,1.7236666666666667,2.9133333333333336,0.5916475972540045,0.04055756059608677,0.14048554677759614
Tier 2,,Hydroxyprolyl-Valine,1.151,1.9473333333333331,0.5910647038685383,0.006966882379822991,0.0488073239071673
Tier 1,HMDB0029123,Valyl-Aspartic acid,1.2106666666666668,2.094,0.5781598217128304,0.028540325448840095,0.112269100243691
Tier 1,HMDB0029043,seryl-Leucine,0.7363333333333334,1.281,0.5748113453031487,0.04417179131585061,0.14711237395135304
Tier 1,C00157,Ethanolamine,0.8596666666666666,1.5006666666666668,0.5728565082185694,7.647223315419117e-05,0.004010194313463498
Tier 1,HMDB0028796,Glutaminyl-Glutamic acid,0.8026666666666666,1.4016666666666666,0.5726516052318669,0.022348693542651014,0.10048646225257171
Tier 2,,Hydroxyprolyl-Hydroxyproline,1.3463333333333336,2.3753333333333333,0.5667976424361494,0.002890266354338971,0.02818456488014965
Tier 2,,4-Maleylacetoacetic acid/4-Fumarylacetoacetic acid,0.5206333333333334,0.9253333333333335,0.5626440922190201,0.0015152660493506257,0.018832398737869967
Tier 1,C06427,alpha-Linolenic acid,0.904,1.6129999999999998,0.560446373217607,0.04122347732643398,0.14048808742585178
Tier 2,,gamma-L-Glutamyl-L-2-aminobutyric acid,1.1676666666666666,2.1186666666666665,0.5511327879169289,0.01726348634679822,0.08932312801758543
Tier 2,C02727,Isomer 1 of N6-Acetyl-Lysine,0.6986666666666667,1.2979999999999998,0.5382639958911146,0.047199120756069,0.15323187942936686
Tier 2,C01118,O-Succinyl-L-homoserine,0.528,0.9813333333333333,0.5380434782608696,0.017911081179416005,0.09065040649320152
Tier 1,C06809,N-acetyl-Cysteine,0.4306666666666667,0.8076666666666666,0.5332232769294264,0.012408264703099678,0.07199300026859082
Tier 2,,L-trans-4-Methyl-2-pyrrolidinecarboxylic acid,1.7173333333333332,3.332666666666667,0.5153030606121224,0.028147257199096474,0.11211325009237254
Tier 1,HMDB0028832,Glutamyl-Valine,0.8893333333333334,1.744,0.5099388379204893,0.029845518044950666,0.1153031847136594
Tier 2,C04076,L-Allysine,0.7048333333333333,1.3846666666666667,0.5090274434280212,0.0006242021089763087,0.011233023372186282
Tier 2,,2-(Hydroxymethyl)-3-(acetamidomethylene)succinic acid,0.9566666666666667,1.9063333333333334,0.5018359853121175,0.004183823395025796,0.03490414066220859
Tier 1,HMDB0000888,Undecanedioic acid,0.6516666666666667,1.2986666666666666,0.5017967145790555,0.0008118890085819199,0.012546391479285934
Tier 1,HMDB0028829,Glutamyl-Threonine,1.2163333333333333,2.4293333333333336,0.5006860592755213,0.008874509654656606,0.05811048977258196
Tier 2,C11045,Aspartame,0.5226666666666667,1.0536666666666668,0.49604555520404936,0.03830272734656561,0.13590978164973744
Tier 2,,gamma-Carboxyglutamic acid,0.6110000000000001,1.239,0.4931396287328491,0.00011592879778246087,0.004425940215001655
Tier 1,,Pimelic acid/3-Methyladipic Acid,0.7844666666666668,1.5963333333333332,0.49141783253288795,0.0011253327832445468,0.016101983898523825
Tier 1,HMDB0029071,Threoninyl-Threonine,1.0,2.0396666666666667,0.4902761889197581,0.02770459879003126,0.11149177082516053
Tier 1,C00286,Deoxyguanosine,0.7183333333333333,1.4686666666666668,0.4891057648660916,0.006162751880355433,0.04520651537551865
Tier 2,,Isomer 1 of Asparaginyl-Valine,1.0170000000000001,2.0796666666666668,0.4890206763904472,0.04875671885530303,0.1556722786592182
Tier 2,,Seryl-Tyrosine,0.793,1.6363333333333332,0.48462008555714003,0.00566839274129216,0.04350772971627558
Tier 2,,Lysyl-Glutamic acid,0.6303333333333333,1.303,0.48375543617293426,0.0466771353204396,0.15323187942936686
Tier 2,C02512,3-Cyano-L-alanine,0.8183333333333334,1.6916666666666667,0.48374384236453205,0.0259291230272289,0.10689556065998901
Tier 1,HMDB0028814,Glutamyl-Asparagine,0.7726666666666667,1.6609999999999998,0.4651816174994984,0.005943625842714491,0.04427856656732665
Tier 2,C03771,2-Oxoarginine,0.6956666666666665,1.5063333333333333,0.4618278380172604,0.012332235510539606,0.07199300026859082
Tier 1,C00847,4-Pyridoxic Acid,1.0002333333333333,2.1766666666666663,0.4595252679938745,0.027566776086224255,0.11132367067572792
Tier 2,C14836,"9,10-12,13-Diepoxyoctadecanoic acid",0.8506666666666667,1.8633333333333333,0.4565295169946333,0.019135033073923953,0.091794999218922
Tier 2,C05949,12-Keto-leukotriene B4,0.6546666666666666,1.4473333333333336,0.45232611699677555,0.03958793603037075,0.13903762987636273
Tier 1,C00346,Ethanolamine phosphate,0.9486666666666667,2.108333333333333,0.4499604743083005,0.0015273904066952343,0.018832398737869967
Tier 2,C06469,Neuraminic acid,0.7063333333333333,1.593,0.44339820046034734,0.0006783009767394116,0.011331167789534146
Tier 2,,Isomer 1 of Isoleucyl-Hydroxyproline,0.934,2.109,0.4428639165481271,0.008736653859396192,0.05753285126727379
Tier 2,C08491,Isomer 1 of Jasmonic acid,1.062,2.4116666666666666,0.44035936420179683,0.012039850530315348,0.07083343535347963
Tier 1,C00385,Xanthine,0.5786666666666668,1.319,0.4387161991407633,0.014858044977287077,0.0823946130558647
Tier 2,C00183,Isomer 1 of Valine,0.8860000000000001,2.0196666666666667,0.4386862518567421,0.00026076888834238086,0.006763687376808773
Tier 2,,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",1.123,2.5733333333333337,0.4363989637305699,0.01844707275263488,0.0909793928523567
Tier 1,,D-histidine methyl ester,0.574,1.3263333333333334,0.43277205327971846,0.03030573517890225,0.1159219375325007
Tier 1,C02356,2-Aminobutyric acid,0.9143333333333334,2.115666666666667,0.4321726800063022,0.002615029814967524,0.02682141199599434
Tier 2,,Alanyl-Glutamic acid,1.104,2.5613333333333337,0.431025507548152,0.007869706385747093,0.05343740772690721
Tier 2,,Ophthalmic acid,0.927,2.175666666666667,0.42607629845258155,0.04133428629181662,0.14048808742585178
Tier 2,C00493,Shikimic acid,0.75,1.7683333333333333,0.42412818096135724,0.0001964334241773909,0.005991219437410422
Tier 1,HMDB0029035,Seryl-Aspartic acid,0.8316666666666667,1.9960000000000002,0.41666666666666663,0.0028938422957185575,0.02818456488014965
Tier 2,C02647,4-Guanidinobutanal,0.8213333333333334,1.9916666666666665,0.4123849372384938,0.020205103649967294,0.09480856328061577
Tier 1,C10833,Syringic acid,0.3243,0.789,0.4110266159695817,0.01647412406613891,0.08714627307626896
Tier 1,C00152,Asparagine,0.49466666666666664,1.204,0.4108527131782946,0.011307193413526928,0.06825540190769641
Tier 2,C20417,Olivetol,1.0593333333333332,2.5980000000000003,0.4077495509366178,0.004186087620402928,0.03490414066220859
Tier 2,,N-Acetyl-N-Formimino-L-glutamic acid,0.606,1.4886666666666668,0.40707568293775187,0.002111082182719833,0.02308249292238006
Tier 2,C16311,12-Oxo-9(Z)-dodecenoic acid,0.508,1.2586666666666666,0.40360169491525427,3.921527002946159e-05,0.0028406561227591236
Tier 2,C21762,4-Hydroxytryptamine,0.7116666666666668,1.7973333333333332,0.3959569732937686,0.026067806156842586,0.10689556065998901
Tier 2,C00334,gamma-Aminobutyric acid,0.53,1.343,0.3946388682055101,0.005179187754915169,0.04111423704073069
Tier 2,C20920,Tabtoxinine-delta-lactam,0.7396666666666666,1.8840000000000001,0.3926043878273177,0.025476847118277825,0.10545594932172857
Tier 2,C00168,Hydroxypyruvic acid,0.689,1.757,0.39214570290267503,0.0036606954942722827,0.03215895531038856
Tier 1,C00002,Adenosine,0.753,1.9206666666666667,0.3920513710517181,6.214548144359337e-05,0.0035173431835886296
Tier 2,C00944,3-Dehydroquinic acid,0.6551,1.6833333333333333,0.3891683168316832,0.04161452446038336,0.14074710009091093
Tier 2,,3-Oxoalanine,0.25166666666666665,0.6496666666666666,0.3873781426372499,0.0006667503507947487,0.011331167789534146
Tier 1,C00062,Arginine,0.447,1.1646666666666667,0.38380080137378364,0.016333522800746413,0.08714627307626896
Tier 2,,N-Acetyl-(S)-Ureidoglycine,0.527,1.3836666666666666,0.38087207901710435,0.01871054810060733,0.09158316187382144
