Identification Level,External Identifier,Compound,sMED4_mean,sMED3_mean,Fold_Change,P_Value,FDR_P_Value
Tier 1,HMDB0028966,Methionyl-Alanine,0.6156666666666667,0.40066666666666667,1.5366056572379367,0.046069250849999015,0.362707832420938
Tier 1,HMDB0028828,Glutamyl-Serine/Seryl-Glutamic acid,0.9376666666666665,0.614,1.5271444082519,0.02994010373561977,0.34825631360491627
Tier 2,C00018,Pyridoxal 5-phosphate,0.711,1.084666666666667,0.6555009219422248,0.007558031682417065,0.23261265783185903
Tier 2,C20914,Tabtoxin biosynthesis intermediate 4,0.5126666666666666,0.7989999999999999,0.6416353775552774,0.019327016072292497,0.30198261402352716
Tier 2,C01226,12-OPDA,0.6838333333333333,1.0766666666666667,0.6351393188854488,0.003962825995439048,0.23063647293455256
Tier 2,,Isomer 1 of Prolyl-Lysine,0.5183333333333334,0.8796666666666667,0.5892383478590376,0.034631075073052346,0.3525533864432829
Tier 2,,(E)-4-Hydroxyphenylacetaldehyde oxime/(Z)-[(4-Hydroxyphenyl)Acetaldehyde Oxime],0.9216666666666667,1.6043333333333336,0.5744857677124454,0.02728153275787934,0.3373829724815842
Tier 2,C16414,2-Amino-5-hydroxyl-4-hydroxylamino-6-nitrotoluene,0.38233333333333336,0.6816666666666666,0.560880195599022,0.03133885363497023,0.34825631360491627
Tier 2,,"2,3-Dihydroxy-3-methylbutanoic acid/(R)-2,3-Dihydroxy-3-methylbutanoic acid",0.6486666666666667,1.1713333333333333,0.553784860557769,0.015293529690851517,0.30198261402352716
Tier 2,C00072,Ascorbic acid,0.8046666666666665,1.543,0.52149492330957,2.2734203073943152e-05,0.009887246522904762
Tier 2,C01102,O-Phospho-L-homoserine,0.6110000000000001,1.1940000000000002,0.5117252931323283,0.04749377414864745,0.36285233093448704
Tier 2,C15996,7-Cyano-7-carbaguanine,1.7309999999999999,3.3900000000000006,0.5106194690265485,0.033110279529447936,0.34825631360491627
Tier 2,C00449,Saccharopine,0.4466666666666666,0.8896666666666667,0.5020606968902209,0.016362705840805822,0.30198261402352716
Tier 2,,"(R)-3,4-Dihydroxymandelonitrile",0.9066666666666666,1.821,0.49789492952590153,0.021875785267893057,0.3130747629323055
Tier 1,C00263,Homoserine,0.4466666666666666,0.9186666666666667,0.4862119013062408,0.04726730017213586,0.36285233093448704
Tier 2,,N-Carboxyethyl-g-aminobutyric acid,0.299,0.6416666666666666,0.465974025974026,0.03990724130497331,0.362707832420938
Tier 2,,A-Ketoglutaric acid oxime,0.5226666666666667,1.1636666666666666,0.44915496992265835,0.01942629503715021,0.30198261402352716
Tier 2,,(S)-2-Azetidinecarboxylic acid,0.5983333333333333,1.3463333333333332,0.4444169348848725,0.002383430042251565,0.20807344268856162
Tier 2,C03194,Isomer 1 of (R)-1-Aminopropan-2-ol,0.582,1.3203333333333334,0.4407977783388033,0.009935605226496341,0.247822381792323
Tier 2,C01234,1-Aminocyclopropane-1-carboxylic acid,0.5936666666666667,1.47,0.4038548752834467,0.006661087549518848,0.23261265783185903
Tier 2,,"(3S)-3,6-Diaminohexanoic acid",0.3138,0.791,0.39671302149178256,0.023304297309776796,0.3178851804911741
Tier 1,C00362,2'-Deoxyguanosine 5'-monophosphate - isomer1,0.7033333333333333,1.8273333333333335,0.3848960233491426,0.0031421680916132694,0.22368883953056412
Tier 1,C08491,(-)-Jasmonic acid,0.5506666666666666,1.449,0.3800322061191626,0.005786073890454588,0.23261265783185903
Tier 1,C00020,Adenosine monophosphate,0.6779999999999999,1.7843333333333333,0.3799738464412479,0.007734986740067996,0.23261265783185903
Tier 2,C05730,Glutathionylspermidine,0.3625333333333334,1.0003333333333335,0.36241252915694766,0.03699304497652686,0.3525533864432829
Tier 2,C00072,Isomer 1 of Ascorbic acid,0.19899999999999998,0.551,0.3611615245009074,0.008241387754695764,0.23261265783185903
Tier 1,C01047,L-Theanine,0.5173333333333333,1.4453333333333334,0.35793357933579334,0.04907392233413019,0.36285233093448704
Tier 2,C00940,2-Oxoglutaramic acid,0.2351,0.6733333333333333,0.34915841584158414,0.000491538294651382,0.05363911640383206
Tier 2,C05526,S-Glutathionyl-L-cysteine,0.5179999999999999,1.4900000000000002,0.3476510067114093,0.015505411637134146,0.30198261402352716
Tier 2,,N-Acetyl-2-Aminomuconate semialdehyde,0.42113333333333336,1.243,0.33880396889246445,0.01670543141524675,0.30198261402352716
Tier 2,C02305,Phosphocreatine,0.7241333333333334,2.253,0.32140849238052965,0.04806897376554978,0.36285233093448704
Tier 2,,"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinic acid",0.3243333333333333,1.0276666666666667,0.31560168666882904,0.021868123386607808,0.3130747629323055
Tier 2,C21634,Norcraugsodine,0.73,2.3476666666666666,0.31094703961380094,0.0067350520578271745,0.23261265783185903
Tier 2,,N-Jasmonoylisoleucine,0.338,1.1326666666666667,0.29841082989994117,0.019717077891570504,0.30198261402352716
Tier 1,C12269,N-Methyl-D-aspartic acid,1.149,3.8729999999999998,0.2966692486444617,0.0028637604817701823,0.22368883953056412
Tier 2,,3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylic acid,0.3293333333333333,1.1643333333333332,0.2828514171199542,0.034803542850017195,0.3525533864432829
Tier 2,C17754,3-Methoxytyramine-betaxanthin,1.1666666666666667,4.18,0.2791068580542265,0.012860869373420644,0.2878856144358006
Tier 2,C01046,N-Methyl-L-glutamic acid,0.3153333333333333,1.1813333333333331,0.26693002257336346,0.02512752002037846,0.3240468862467431
Tier 1,C00491,Cystine,0.12079999999999998,2.6846666666666668,0.04499627514278618,0.04901832863233469,0.36285233093448704
